date,open,high,low,close,volume,rsi_7,macd,bollinger
2022-06-09,147.080002,147.949997,142.529999,142.639999,69473000,39.010773168261935,-2.389755858273503,144.86050185000002
2022-06-10,140.279999,140.759995,137.059998,137.130005,91437900,29.68146481927718,-2.9531365279999875,144.5890022
2022-06-13,132.869995,135.199997,131.440002,131.880005,122207100,23.448043660587558,-3.7796810808854104,143.82750240000001
2022-06-14,133.130005,133.889999,131.479996,132.759995,84784300,26.46788029528041,-4.313986800885232,143.1885025
2022-06-15,134.289993,137.339996,132.160004,135.429993,91533000,35.47771609109347,-4.470448857285277,142.49800190000002
2022-06-16,132.080002,132.389999,129.039993,130.059998,108123900,27.555342208821187,-4.970463472900292,141.96000145
2022-06-17,130.070007,133.080002,129.809998,131.559998,134520300,32.46965521837542,-5.185911237579859,141.67050105
2022-06-21,133.419998,137.059998,133.320007,135.869995,81000500,44.98094479983293,-4.951793215746704,141.584501
2022-06-22,134.789993,137.759995,133.910004,135.350006,73409200,43.83776256318692,-4.753417327236434,141.19650125
2022-06-23,136.820007,138.589996,135.630005,138.270004,72433800,51.854185461230884,-4.310890311141662,141.09200140000002
2022-06-24,139.899994,141.910004,139.770004,141.660004,89116800,59.65424622962194,-3.6446268049575394,141.1490014
2022-06-27,142.699997,143.490005,140.970001,141.660004,70207900,59.65424622962194,-3.081091273845118,141.04300165
2022-06-28,142.130005,143.419998,137.320007,137.440002,67083400,46.80591497937066,-2.9411010170038026,140.4330018
2022-06-29,137.460007,140.669998,136.669998,139.229996,66242400,51.929454824777814,-2.655113675979919,139.9525018
2022-06-30,137.25,138.369995,133.770004,136.720001,98964500,44.86072850186874,-2.601019335565411,139.35300149999998
2022-07-01,136.039993,139.039993,135.660004,138.929993,71051600,51.624890501473395,-2.3527008257185287,138.7390008
2022-07-05,137.770004,141.610001,136.929993,141.559998,73353800,58.66505771216397,-1.921536912582468,138.54800045000002
2022-07-06,141.350006,144.119995,141.080002,142.919998,74064300,62.00130913122152,-1.4533425428880378,138.3870004
2022-07-07,143.289993,146.550003,143.279999,146.350006,66253700,69.29372714080684,-0.7963424122968092,138.26900035
2022-07-08,145.259995,147.550003,145.0,147.039993,64547800,70.61712309047732,-0.21748189502679338,138.22299965
