date,open,high,low,close,volume,rsi_7
2017-08-31,40.91,41.130001,40.869999,41.0,107140400,74.51043465326833
2017-09-01,41.200001,41.235001,40.907501,41.012501,66364400,74.69374127452858
2017-09-05,40.9375,41.0625,40.139999,40.52,117874000,56.137887560638646
2017-09-06,40.677502,40.747501,40.130001,40.477501,86606800,54.768132099593366
2017-09-07,40.522499,40.560001,40.09,40.314999,87714000,49.391995045554474
2017-09-08,40.215,40.287498,39.6325,39.657501,114446000,33.752299764280764
2017-09-11,40.125,40.512501,39.9725,40.375,126323200,52.785779565489534
2017-09-12,40.6525,40.990002,39.692501,40.215,286856000,49.11461694724282
2017-09-13,39.967499,39.990002,39.477501,39.912498,179629600,42.582252964364685
2017-09-14,39.747501,39.849998,39.522499,39.57,95042800,36.21908150050734
2017-09-15,39.6175,40.2425,39.5,39.970001,196458400,47.00856174785065
2017-09-18,40.0275,40.125,39.5,39.6675,113077600,40.90358938320254
2017-09-19,39.877499,39.942501,39.610001,39.682499,83242400,41.34424533999016
2017-09-20,39.474998,39.564999,38.4575,39.017502,211805600,29.83649338220404
2017-09-21,38.950001,38.950001,38.1875,38.3475,150046800,22.4812240551084
2017-09-22,37.884998,38.067501,37.639999,37.9725,186581600,19.364124802408355
2017-09-25,37.497501,37.9575,37.290001,37.637501,177549200,16.91918018896071
2017-09-26,37.945,38.48,37.922501,38.285,146640000,35.33142776504742
2017-09-27,38.450001,38.68,38.384998,38.557499,102016800,41.67762853846089
2017-09-28,38.4725,38.57,38.174999,38.32,88022000,37.896168621344685
2017-09-29,38.302502,38.532501,38.0,38.529999,105199200,43.211374486421455
2017-10-02,38.564999,38.612499,38.18,38.452499,74795200,41.67564306097027
2017-10-03,38.502499,38.772499,38.477501,38.619999,64921200,46.47247245691838
2017-10-04,38.407501,38.465,38.115002,38.369999,80655200,40.65082778904417
2017-10-05,38.544998,38.860001,38.512501,38.8475,85135200,53.60249342068143
2017-10-06,38.7425,38.872501,38.639999,38.825001,69630400,52.967085311609786
2017-10-09,38.952499,39.182499,38.872501,38.959999,65051600,56.57087737741063
2017-10-10,39.014999,39.5,38.775002,38.974998,62468000,56.99797630982117
2017-10-11,38.9925,39.244999,38.9375,39.137501,67622400,61.75239615652211
2017-10-12,39.087502,39.342499,38.932499,39.0,64500400,55.675724424916645
2017-10-13,39.182499,39.32,39.102501,39.247501,65576800,63.26658707970074
2017-10-16,39.474998,40.0,39.412498,39.970001,96486000,76.79877629785638
2017-10-17,39.945,40.217499,39.807499,40.1175,75989200,78.67027706463185
2017-10-18,40.105,40.177502,39.900002,39.939999,65496800,70.66722448701768
2017-10-19,39.1875,39.27,38.755001,38.994999,170336800,43.30463608291316
2017-10-20,39.1525,39.4375,38.990002,39.0625,95896400,45.07686433335327
2017-10-23,39.2225,39.422501,38.875,39.0425,87937200,44.59499992006962
2017-10-24,39.072498,39.355,39.049999,39.275002,71028800,51.61060078990408
2017-10-25,39.227501,39.387501,38.817501,39.102501,84828400,46.51261750460612
2017-10-26,39.307499,39.4575,39.195,39.352501,68002000,54.16734432082287
2017-10-27,39.822498,40.900002,39.674999,40.762501,177816800,76.39538454455132
2017-10-30,40.9725,42.017502,40.93,41.68,178803200,82.7474260361312
2017-10-31,41.974998,42.412498,41.735001,42.259998,144187200,85.60444155635423
2017-11-01,42.467499,42.485001,41.4025,41.7225,134551200,72.60505885111036
2017-11-02,41.650002,42.125,41.32,42.0275,165573600,75.10750445362866
2017-11-03,43.5,43.564999,42.779999,43.125,237594400,82.00736740841978
2017-11-06,43.092499,43.747501,42.93,43.5625,140105200,84.06196645140508
